# time         sensor    measurable   value
1393136736     6      1      0.0000
1393136747     1      0      -0.1970
1393136747     2      0      6.9240
1393136747     6      0      236.0000
1393136747     6      1      0.0000
1393136758     1      0      -0.6590
1393136758     2      0      6.8110
1393136758     6      0      236.0000
1393136758     6      1      0.0000
1393136769     1      0      -0.6590
1393136769     2      0      6.5570
1393136769     6      0      236.0000
1393136769     6      1      0.0000
1393136780     1      0      -0.6590
1393136780     2      0      6.2990
1393136780     6      0      236.0000
1393136780     6      1      0.0000
1393136791     1      0      -1.1400
1393136791     2      0      6.0190
1393136791     6      0      236.0000
1393136791     6      1      0.0000
1393136802     1      0      -0.9080
1393136802     2      0      5.9400
1393136802     6      0      236.0000
1393136802     6      1      0.0000
1393136813     1      0      -1.1400
1393136813     2      0      5.9660
1393136813     6      0      236.0000
1393136813     6      1      0.0000
1393136824     1      0      -1.1400
1393136824     2      0      5.7680
1393136824     6      0      236.0000
1393136824     6      1      0.0000
1393136835     1      0      -1.1400
1393136835     2      0      5.6030
1393136835     6      0      236.0000
1393136835     6      1      0.0000
1393136846     1      0      -1.1400
1393136846     2      0      5.6890
1393136846     6      0      236.0000
1393136846     6      1      0.0000
1393136857     1      0      -1.6020
1393136857     2      0      5.6030
1393136857     6      0      236.0000
1393136857     6      1      0.0000
1393136868     1      0      -1.6020
1393136868     2      0      5.3490
1393136868     6      0      236.0000
1393136868     6      1      0.0000
1393136879     1      0      -1.6020
1393136879     2      0      5.1710
1393136879     6      0      236.0000
1393136879     6      1      0.0000
1393136890     1      0      -2.0830
1393136890     2      0      4.5260
1393136890     6      0      236.0000
1393136890     6      1      0.0000
1393136901     1      0      -2.0830
1393136901     2      0      4.3420
1393136901     6      0      236.0000
1393136901     6      1      0.0000
1393136912     1      0      -1.6020
1393136912     2      0      4.0990
1393136912     6      0      236.0000
1393136912     6      1      0.0000
1393136923     1      0      -1.6020
1393136923     2      0      3.9690
1393136923     6      0      236.0000
1393136923     6      1      0.0000
1393136934     1      0      -1.8510
1393136934     2      0      3.7830
1393136934     6      0      236.0000
1393136934     6      1      0.0000
1393136945     1      0      -1.6020
1393136945     2      0      3.5160
1393136945     6      0      236.0000
1393136945     6      1      0.0000
1393136956     1      0      -2.0830
1393136956     2      0      3.4300
1393136956     6      0      236.0000
1393136956     6      1      0.0000
1393136967     1      0      -2.0830
1393136967     2      0      3.2650
1393136967     6      0      236.0000
1393136967     6      1      0.0000
1393136978     1      0      -1.6020
1393136978     2      0      3.0820
1393136978     6      0      236.0000
1393136978     6      1      0.0000
1393136989     1      0      -1.8510
1393136989     2      0      2.8310
1393136989     6      0      236.0000
1393136989     6      1      0.0000
1393137000     1      0      -2.0830
1393137000     2      0      2.5010
1393137000     6      0      236.0000
1393137000     6      1      0.0000
1393137011     1      0      -2.0830
1393137011     2      0      2.4490
1393137011     6      0      236.0000
1393137011     6      1      0.0000
1393137022     1      0      -2.0830
1393137022     2      0      2.4490
1393137022     6      0      236.0000
1393137022     6      1      0.0000
1393137033     1      0      -2.0830
1393137033     2      0      2.4490
1393137033     6      0      236.0000
1393137033     6      1      0.0000
1393137044     1      0      -2.0830
1393137044     2      0      2.4490
1393137044     6      0      236.0000
1393137044     6      1      0.0000
1393137055     1      0      -2.0830
1393137055     2      0      2.4650
1393137055     6      0      236.0000
1393137055     6      1      0.0000
1393137066     1      0      -2.0830
1393137066     2      0      2.3520
1393137066     6      0      236.0000
1393137066     6      1      0.0000
1393137077     1      0      -2.5630
1393137077     2      0      2.3450
1393137077     6      0      236.0000
1393137077     6      1      0.0000
1393137088     1      0      -2.0830
1393137088     2      0      2.2790
1393137088     6      0      236.0000
1393137088     6      1      0.0000
1393137099     1      0      -2.5630
1393137099     2      0      2.2350
1393137099     6      0      236.0000
1393137099     6      1      0.0000
1393137110     1      0      -2.5630
1393137110     2      0      2.0360
1393137110     6      0      236.0000
1393137110     6      1      0.0000
1393137121     1      0      -2.5630
1393137121     2      0      2.0260
1393137121     6      0      236.0000
1393137121     6      1      0.0000
1393137132     1      0      -2.5630
1393137132     2      0      2.0440
1393137132     6      0      236.0000
1393137132     6      1      0.0000
1393137143     1      0      -2.5630
1393137143     2      0      1.7930
1393137143     6      0      236.0000
1393137143     6      1      0.0000
1393137154     1      0      -3.0260
1393137154     2      0      1.7480
1393137154     6      0      236.0000
1393137154     6      1      0.0000
1393137165     1      0      -3.0260
1393137165     2      0      1.6620
1393137165     6      0      236.0000
1393137165     6      1      0.0000
1393137176     1      0      -2.5630
1393137176     2      0      1.4190
1393137176     6      0      236.0000
1393137176     6      1      0.0000
1393137187     1      0      -2.5630
1393137187     2      0      1.3670
1393137187     6      0      236.0000
1393137187     6      1      0.0000
1393137198     1      0      -3.0260
1393137198     2      0      1.3850
1393137198     6      0      236.0000
1393137198     6      1      0.0000
1393137209     1      0      -2.5630
1393137209     2      0      1.3060
1393137209     6      0      236.0000
1393137209     6      1      0.0000
1393137220     1      0      -3.0260
1393137220     2      0      1.2440
1393137220     6      0      236.0000
1393137220     6      1      0.0000
1393137231     1      0      -2.7950
1393137231     2      0      1.1910
1393137231     6      0      236.0000
1393137231     6      1      0.0000
1393137242     1      0      -2.7950
1393137242     2      0      1.1420
1393137242     6      0      236.0000
1393137242     6      1      0.0000
1393137253     1      0      -3.0260
1393137253     2      0      0.9850
1393137253     6      0      236.0000
1393137253     6      1      0.0000
1393137264     1      0      -2.5630
1393137264     2      0      0.9140
1393137264     6      0      236.0000
1393137264     6      1      0.0000
1393137275     1      0      -2.7950
1393137275     2      0      0.8280
1393137275     6      0      236.0000
1393137275     6      1      0.0000
1393137286     1      0      -3.0260
1393137286     2      0      0.6450
1393137286     6      0      236.0000
1393137286     6      1      0.0000
1393137297     1      0      -3.2750
1393137297     2      0      0.6240
1393137297     6      0      236.0000
1393137297     6      1      0.0000
1393137308     1      0      -3.0260
1393137308     2      0      0.6060
1393137308     6      0      236.0000
1393137308     6      1      0.0000
1393137319     1      0      -3.5060
1393137319     2      0      0.3230
1393137319     6      0      236.0000
1393137319     6      1      0.0000
1393137330     1      0      -3.0260
1393137330     2      0      0.3070
1393137330     6      0      236.0000
1393137330     6      1      0.0000
1393137341     1      0      -3.2750
1393137341     2      0      0.2370
1393137341     6      0      236.0000
1393137341     6      1      0.0000
1393137352     1      0      -3.5060
1393137352     2      0      0.2190
1393137352     6      0      236.0000
1393137352     6      1      0.0000
1393137363     1      0      -3.2750
1393137363     2      0      0.1850
1393137363     6      0      236.0000
1393137363     6      1      0.0000
1393137374     1      0      -3.2750
1393137374     2      0      0.2030
1393137374     6      0      236.0000
1393137374     6      1      0.0000
1393137385     1      0      -3.0260
1393137385     2      0      -0.0050
1393137385     6      0      236.0000
1393137385     6      1      0.0000
1393137396     1      0      -3.0260
1393137396     2      0      -0.0760
1393137396     6      0      236.0000
1393137396     6      1      0.0000
1393137407     1      0      -3.0260
1393137407     2      0      -0.2300
1393137407     6      0      236.0000
1393137407     6      1      0.0000
1393137418     1      0      -3.2750
1393137418     2      0      -0.3190
1393137418     6      0      236.0000
1393137418     6      1      0.0000
1393137429     1      0      -3.2750
1393137429     2      0      -0.3530
1393137429     6      0      236.0000
1393137429     6      1      0.0000
1393137440     1      0      -3.5060
1393137440     2      0      -0.3350
1393137440     6      0      236.0000
1393137440     6      1      0.0000
1393137451     1      0      -3.5060
1393137451     2      0      -0.3530
1393137451     6      0      236.0000
1393137451     6      1      0.0000
1393137462     1      0      -3.0260
1393137462     2      0      -0.4390
1393137462     6      0      236.0000
1393137462     6      1      0.0000
1393137473     1      0      -3.5060
1393137473     2      0      -0.5050
1393137473     6      0      236.0000
1393137473     6      1      0.0000
1393137484     1      0      -3.9690
1393137484     2      0      -0.6300
1393137484     6      0      236.0000
1393137484     6      1      0.0000
1393137495     1      0      -3.5060
1393137495     2      0      -0.6490
1393137495     6      0      236.0000
1393137495     6      1      0.0000
1393137506     1      0      -3.5060
1393137506     2      0      -0.7530
1393137506     6      0      236.0000
1393137506     6      1      0.0000
1393137517     1      0      -3.5060
1393137517     2      0      -0.8390
1393137517     6      0      236.0000
1393137517     6      1      0.0000
1393137528     1      0      -3.9690
1393137528     2      0      -0.8390
1393137528     6      0      236.0000
1393137528     6      1      0.0000
1393137539     1      0      -3.5060
1393137539     2      0      -0.8390
1393137539     6      0      236.0000
1393137539     6      1      0.0000
1393137550     1      0      -3.2750
1393137550     2      0      -0.8580
1393137550     6      0      236.0000
1393137550     6      1      0.0000
1393137561     1      0      -3.5060
1393137561     2      0      -0.9100
1393137561     6      0      236.0000
1393137561     6      1      0.0000
1393137572     1      0      -3.5060
1393137572     2      0      -0.9780
1393137572     6      0      236.0000
1393137572     6      1      0.0000
1393137583     1      0      -3.5060
1393137583     2      0      -1.0120
1393137583     6      0      236.0000
1393137583     6      1      0.0000
1393137594     1      0      -3.5060
1393137594     2      0      -1.1530
1393137594     6      0      236.0000
1393137594     6      1      0.0000
1393137605     1      0      -3.5060
1393137605     2      0      -1.1690
1393137605     6      0      236.0000
1393137605     6      1      0.0000
1393137616     1      0      -3.5060
1393137616     2      0      -1.1690
1393137616     6      0      236.0000
1393137616     6      1      0.0000
1393137627     1      0      -3.5060
1393137627     2      0      -1.1870
1393137627     6      0      236.0000
1393137627     6      1      0.0000
1393137638     1      0      -3.5060
1393137638     2      0      -1.2400
